Country,injury_severity,aircraft_damage,aircraft_category,number_of_engines,engine_type,flight_purpose,weather_condition,fatal_injuries,serious_injuries,minor_injuries,uninjured,Year,make_model
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,1.0,0.0,0.0,0.0,2009,PIPER PA-12
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Unknown,VMC,0.0,0.0,0.0,1.0,2009,CESSNA 402B
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,1.0,0.0,2009,RITTAL ALFRED TIMOTHY GLASTAR
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,0.0,0.0,0.0,1.0,2009,C A TECNAM SRL P2002 SIER
United States,Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,CESSNA T210
United States,Fatal,Substantial,Airplane,2.0,Reciprocating,Flight Test,VMC,1.0,0.0,0.0,0.0,2009,Frazier Tangent
United States,Fatal,Destroyed,Airplane,1.0,Reciprocating,Aerial Observation,IMC,1.0,0.0,0.0,0.0,2009,CESSNA 182Q
South Africa,Fatal,Substantial,Airplane,2.0,Turbo Prop,Positioning,Unknown,1.0,0.0,2.0,0.0,2009,BAE JETSTREAM 41
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CESSNA 195A
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,PIPER PA-32-260
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,BELLANCA 7GCBC
Spain,Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,2.0,0.0,0.0,0.0,2009,PIPER PA18
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,BEECH A23-19
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,AERONCA 11AC
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,5.0,2009,CESSNA 182
United States,Non-Fatal,Substantial,Airplane,2.0,Turbo Prop,Other Work Use,VMC,0.0,0.0,0.0,1.0,2009,SHORT BROS. & HARLAND SC7 SERIES
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,4.0,2009,BEECH 35-C33
United States,Non-Fatal,Substantial,Airplane,2.0,Turbo Fan,Personal,IMC,0.0,0.0,0.0,4.0,2009,BOMBARDIER CL-600-2B16
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,0.0,1.0,0.0,1.0,2009,CESSNA 172
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,AVIAT AIRCRAFT INC A-1B
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,PIPER PA-28-180
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CESSNA 195
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,American Legend Aircraft Co. AL3
